"input_name","market_hash_name","type"
"2024年哥本哈根锦标赛挑战组亲笔签名胶囊","Copenhagen 2024 Challengers Autograph Capsule","普通级 武器箱"
"2024年哥本哈根锦标赛冠军亲笔签名胶囊","Copenhagen 2024 Champions Autograph Capsule","普通级 武器箱"
"2024年哥本哈根锦标赛传奇组印花胶囊","Copenhagen 2024 Legends Sticker Capsule","普通级 武器箱"
"2024年哥本哈根锦标赛传奇组亲笔签名胶囊","Copenhagen 2024 Legends Autograph Capsule","普通级 武器箱"
"2024年上海锦标赛阿努比斯纪念包","Shanghai 2024 Anubis Souvenir Package","普通级 武器箱"
"2024年上海锦标赛远古遗迹纪念包","Shanghai 2024 Ancient Souvenir Package","普通级 武器箱"
"2024年上海锦标赛荒漠迷城纪念包","Shanghai 2024 Mirage Souvenir Package","普通级 武器箱"
"2024年上海锦标赛竞争组印花胶囊","Shanghai 2024 Contenders Sticker Capsule","普通级 武器箱"
"2024年上海锦标赛竞争组亲笔签名胶囊","Shanghai 2024 Contenders Autograph Capsule","普通级 武器箱"
"2024年上海锦标赛炼狱小镇纪念包","Shanghai 2024 Inferno Souvenir Package","普通级 武器箱"
"2024年上海锦标赛炙热沙城 II 纪念包","Shanghai 2024 Dust II Souvenir Package","普通级 武器箱"
"2024年上海锦标赛殒命大厦纪念包","Shanghai 2024 Vertigo Souvenir Package","普通级 武器箱"
"2024年上海锦标赛核子危机纪念包","Shanghai 2024 Nuke Souvenir Package","普通级 武器箱"
"2024年上海锦标赛挑战组印花胶囊","Shanghai 2024 Challengers Sticker Capsule","普通级 武器箱"
"2024年上海锦标赛挑战组亲笔签名胶囊","Shanghai 2024 Challengers Autograph Capsule","普通级 武器箱"
"2024年上海锦标赛冠军亲笔签名胶囊","Shanghai 2024 Champions Autograph Capsule","普通级 武器箱"
"2024年上海锦标赛传奇组印花胶囊","Shanghai 2024 Legends Sticker Capsule","普通级 武器箱"
"2024年上海锦标赛传奇组亲笔签名胶囊","Shanghai 2024 Legends Autograph Capsule","普通级 武器箱"
"2023年巴黎锦标赛阿努比斯纪念包","Paris 2023 Anubis Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛远古遗迹纪念包","Paris 2023 Ancient Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛荒漠迷城纪念包","Paris 2023 Mirage Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛竞争组印花胶囊","Paris 2023 Contenders Sticker Capsule","普通级 武器箱"
"2023年巴黎锦标赛竞争组亲笔签名胶囊","Paris 2023 Contenders Autograph Capsule","普通级 武器箱"
"2023年巴黎锦标赛炼狱小镇纪念包","Paris 2023 Inferno Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛殒命大厦纪念包","Paris 2023 Vertigo Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛死亡游乐园纪念包","Paris 2023 Overpass Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛核子危机纪念包","Paris 2023 Nuke Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛挑战组印花胶囊","Paris 2023 Challengers Sticker Capsule","普通级 武器箱"
"2023年巴黎锦标赛挑战组亲笔签名胶囊","Paris 2023 Challengers Autograph Capsule","普通级 武器箱"
"2023年巴黎锦标赛冠军亲笔签名胶囊","Paris 2023 Champions Autograph Capsule","普通级 武器箱"
"2023年巴黎锦标赛传奇组印花胶囊","Paris 2023 Legends Sticker Capsule","普通级 武器箱"
"2023年巴黎锦标赛传奇组亲笔签名胶囊","Paris 2023 Legends Autograph Capsule","普通级 武器箱"
"2022年里约热内卢锦标赛远古遗迹纪念包","Rio 2022 Ancient Souvenir Package","普通级 武器箱"
"2022年里约热内卢锦标赛荒漠迷城纪念包","Rio 2022 Mirage Souvenir Package","普通级 武器箱"
"2022年里约热内卢锦标赛竞争组印花胶囊","Rio 2022 Contenders Sticker Capsule","普通级 武器箱"
"2022年里约热内卢锦标赛竞争组亲笔签名胶囊","Rio 2022 Contenders Autograph Capsule","普通级 武器箱"
"2022年里约热内卢锦标赛炼狱小镇纪念包","Rio 2022 Inferno Souvenir Package","普通级 武器箱"
"2022年里约热内卢锦标赛炙热沙城 II 纪念包","Rio 2022 Dust II Souvenir Package","普通级 武器箱"
"2022年里约热内卢锦标赛殒命大厦纪念包","Rio 2022 Vertigo Souvenir Package","普通级 武器箱"
"2022年里约热内卢锦标赛死亡游乐园纪念包","Rio 2022 Overpass Souvenir Package","普通级 武器箱"
"2022年里约热内卢锦标赛核子危机纪念包","Rio 2022 Nuke Souvenir Package","普通级 武器箱"
"2022年里约热内卢锦标赛挑战组印花胶囊","Rio 2022 Challengers Sticker Capsule","普通级 武器箱"
"2022年里约热内卢锦标赛挑战组亲笔签名胶囊","Rio 2022 Challengers Autograph Capsule","普通级 武器箱"
"2022年里约热内卢锦标赛冠军亲笔签名胶囊","Rio 2022 Champions Autograph Capsule","普通级 武器箱"
"2022年里约热内卢锦标赛传奇组印花胶囊","Rio 2022 Legends Sticker Capsule","普通级 武器箱"
"2022年里约热内卢锦标赛传奇组亲笔签名胶囊","Rio 2022 Legends Autograph Capsule","普通级 武器箱"
"2022年安特卫普锦标赛远古遗迹纪念包","Antwerp 2022 Ancient Souvenir Package","普通级 武器箱"
"2022年安特卫普锦标赛荒漠迷城纪念包","Antwerp 2022 Mirage Souvenir Package","普通级 武器箱"
"2022年安特卫普锦标赛竞争组印花胶囊","Antwerp 2022 Contenders Sticker Capsule","普通级 武器箱"
"2022年安特卫普锦标赛竞争组亲笔签名胶囊","Antwerp 2022 Contenders Autograph Capsule","普通级 武器箱"
"2022年安特卫普锦标赛炼狱小镇纪念包","Antwerp 2022 Inferno Souvenir Package","普通级 武器箱"
"2022年安特卫普锦标赛炙热沙城 II 纪念包","Antwerp 2022 Dust II Souvenir Package","普通级 武器箱"
"2022年安特卫普锦标赛殒命大厦纪念包","Antwerp 2022 Vertigo Souvenir Package","普通级 武器箱"
"2022年安特卫普锦标赛死亡游乐园纪念包","Antwerp 2022 Overpass Souvenir Package","普通级 武器箱"
"2022年安特卫普锦标赛核子危机纪念包","Antwerp 2022 Nuke Souvenir Package","普通级 武器箱"
"2022年安特卫普锦标赛挑战组印花胶囊","Antwerp 2022 Challengers Sticker Capsule","普通级 武器箱"
"2022年安特卫普锦标赛挑战组亲笔签名胶囊","Antwerp 2022 Challengers Autograph Capsule","普通级 武器箱"
"2022年安特卫普锦标赛冠军亲笔签名胶囊","Antwerp 2022 Champions Autograph Capsule","普通级 武器箱"
"2022年安特卫普锦标赛传奇组印花胶囊","Antwerp 2022 Legends Sticker Capsule","普通级 武器箱"
"2022年安特卫普锦标赛传奇组亲笔签名胶囊","Antwerp 2022 Legends Autograph Capsule","普通级 武器箱"
"2021社区印花胶囊","2021 Community Sticker Capsule","普通级 武器箱"
"2021年斯德哥尔摩锦标赛远古遗迹纪念包","Stockholm 2021 Ancient Souvenir Package","普通级 武器箱"
"2021年斯德哥尔摩锦标赛荒漠迷城纪念包","Stockholm 2021 Mirage Souvenir Package","普通级 武器箱"
"2021年斯德哥尔摩锦标赛竞争组布章包","Stockholm 2021 Contenders Patch Pack","普通级 武器箱"
"2021年斯德哥尔摩锦标赛竞争组印花胶囊","Stockholm 2021 Contenders Sticker Capsule","普通级 武器箱"
"2021年斯德哥尔摩锦标赛炼狱小镇纪念包","Stockholm 2021 Inferno Souvenir Package","普通级 武器箱"
"2021年斯德哥尔摩锦标赛炙热沙城 II 纪念包","Stockholm 2021 Dust II Souvenir Package","普通级 武器箱"
"2021年斯德哥尔摩锦标赛殒命大厦纪念包","Stockholm 2021 Vertigo Souvenir Package","普通级 武器箱"
"2021年斯德哥尔摩锦标赛死亡游乐园纪念包","Stockholm 2021 Overpass Souvenir Package","普通级 武器箱"
"2021年斯德哥尔摩锦标赛核子危机纪念包","Stockholm 2021 Nuke Souvenir Package","普通级 武器箱"
"2021年斯德哥尔摩锦标赛挑战组布章包","Stockholm 2021 Challengers Patch Pack","普通级 武器箱"
"2021年斯德哥尔摩锦标赛挑战组印花胶囊","Stockholm 2021 Challengers Sticker Capsule","普通级 武器箱"
"2021年斯德哥尔摩锦标赛冠军赛选手亲笔签名胶囊","Stockholm 2021 Finalists Autograph Capsule","普通级 武器箱"
"2021年斯德哥尔摩锦标赛冠军亲笔签名胶囊","Stockholm 2021 Champions Autograph Capsule","普通级 武器箱"
"2021年斯德哥尔摩锦标赛传奇组布章包","Stockholm 2021 Legends Patch Pack","普通级 武器箱"
"2021年斯德哥尔摩锦标赛传奇组印花胶囊","Stockholm 2021 Legends Sticker Capsule","普通级 武器箱"
"2020 RMR 竞争组战队胶囊","2020 RMR Contenders","普通级 武器箱"
"2020 RMR 挑战组战队胶囊","2020 RMR Challengers","普通级 武器箱"
"2020 RMR 传奇组战队胶囊","2020 RMR Legends","普通级 武器箱"
"2019年柏林锦标赛荒漠迷城纪念包","Berlin 2019 Mirage Souvenir Package","普通级 武器箱"
"2019年柏林锦标赛竞争组胶囊（全息/闪亮）","Berlin 2019 Minor Challengers (Holo-Foil)","普通级 武器箱"
"2019年柏林锦标赛竞争组亲笔签名胶囊","Berlin 2019 Minor Challengers Autograph Capsule","普通级 武器箱"
"2019年柏林锦标赛炼狱小镇纪念包","Berlin 2019 Inferno Souvenir Package","普通级 武器箱"
"2019年柏林锦标赛炙热沙城 II 纪念包","Berlin 2019 Dust II Souvenir Package","普通级 武器箱"
"2019年柏林锦标赛殒命大厦纪念包","Berlin 2019 Vertigo Souvenir Package","普通级 武器箱"
"2019年柏林锦标赛死亡游乐园纪念包","Berlin 2019 Overpass Souvenir Package","普通级 武器箱"
"2019年柏林锦标赛核子危机纪念包","Berlin 2019 Nuke Souvenir Package","普通级 武器箱"
"2019年柏林锦标赛挑战组胶囊（全息/闪亮）","Berlin 2019 Returning Challengers (Holo-Foil)","普通级 武器箱"
"2019年柏林锦标赛挑战组亲笔签名胶囊","Berlin 2019 Returning Challengers Autograph Capsule","普通级 武器箱"
"2019年柏林锦标赛列车停放站纪念包","Berlin 2019 Train Souvenir Package","普通级 武器箱"
"2019年柏林锦标赛传奇组胶囊（全息/闪亮）","Berlin 2019 Legends (Holo-Foil)","普通级 武器箱"
"2019年柏林锦标赛传奇组亲笔签名胶囊","Berlin 2019 Legends Autograph Capsule","普通级 武器箱"
"2019年卡托维兹锦标赛竞争组（全息/闪亮）","Katowice 2019 Minor Challengers (Holo-Foil)","普通级 武器箱"
"2019年卡托维兹锦标赛竞争组亲笔签名胶囊","Katowice 2019 Minor Challengers Autograph Capsule","普通级 武器箱"
"2019年卡托维兹锦标赛挑战组（全息/闪亮）","Katowice 2019 Returning Challengers (Holo-Foil)","普通级 武器箱"
"2019年卡托维兹锦标赛挑战组亲笔签名胶囊","Katowice 2019 Returning Challengers Autograph Capsule","普通级 武器箱"
"2019年卡托维兹锦标赛传奇（全息/闪亮）","Katowice 2019 Legends (Holo-Foil)","普通级 武器箱"
"2019年卡托维兹锦标赛传奇亲笔签名胶囊","Katowice 2019 Legends Autograph Capsule","普通级 武器箱"
"2018年社区印花胶囊","Community Capsule 2018","普通级 武器箱"
"2018年波士顿锦标赛荒漠迷城纪念包","Boston 2018 Mirage Souvenir Package","普通级 武器箱"
"2018年波士顿锦标赛竞争组（闪亮/全息）（含 Flash Gaming）","Boston 2018 Minor Challengers with Flash Gaming (Holo-Foil)","普通级 武器箱"
"2018年波士顿锦标赛竞争组（全息/闪亮）（含 TYLOO）","Boston 2018 Minor Challengers (Holo-Foil)","普通级 武器箱"
"2018年波士顿锦标赛竞争组亲笔签名胶囊（含 TYLOO）","Boston 2018 Minor Challengers Autograph Capsule","普通级 武器箱"
"2018年波士顿锦标赛竞争组亲笔签名胶囊（含 Flash Gaming）","Boston 2018 Minor Challengers with Flash Gaming Autograph Capsule","普通级 武器箱"
"2018年波士顿锦标赛炼狱小镇纪念包","Boston 2018 Inferno Souvenir Package","普通级 武器箱"
"2018年波士顿锦标赛死城之谜纪念包","Boston 2018 Cache Souvenir Package","普通级 武器箱"
"2018年波士顿锦标赛死亡游乐园纪念包","Boston 2018 Overpass Souvenir Package","普通级 武器箱"
"2018年波士顿锦标赛核子危机纪念包","Boston 2018 Nuke Souvenir Package","普通级 武器箱"
"2018年波士顿锦标赛挑战组（全息/闪亮）","Boston 2018 Returning Challengers (Holo-Foil)","普通级 武器箱"
"2018年波士顿锦标赛挑战组亲笔签名胶囊","Boston 2018 Returning Challengers Autograph Capsule","普通级 武器箱"
"2018年波士顿锦标赛古堡激战纪念包","Boston 2018 Cobblestone Souvenir Package","普通级 武器箱"
"2018年波士顿锦标赛参赛传奇（全息/闪亮）","Boston 2018 Attending Legends (Holo-Foil)","普通级 武器箱"
"2018年波士顿锦标赛列车停放站纪念包","Boston 2018 Train Souvenir Package","普通级 武器箱"
"2018年波士顿锦标赛传奇（全息/闪亮）（含 100 Thieves）","Boston 2018 Legends (Holo-Foil)","普通级 武器箱"
"2018年波士顿锦标赛传奇亲笔签名胶囊（含 100 Thieves）","Boston 2018 Legends Autograph Capsule","普通级 武器箱"
"2018年波士顿锦标赛传奇亲笔签名胶囊","Boston 2018 Attending Legends Autograph Capsule","普通级 武器箱"
"2018年伦敦锦标赛荒漠迷城纪念包","London 2018 Mirage Souvenir Package","普通级 武器箱"
"2018年伦敦锦标赛竞争组亲笔签名胶囊","London 2018 Minor Challengers Autograph Capsule","普通级 武器箱"
"2018年伦敦锦标赛炼狱小镇纪念包","London 2018 Inferno Souvenir Package","普通级 武器箱"
"2018年伦敦锦标赛炙热沙城 II 纪念包","London 2018 Dust II Souvenir Package","普通级 武器箱"
"2018年伦敦锦标赛死城之谜纪念包","London 2018 Cache Souvenir Package","普通级 武器箱"
"2018年伦敦锦标赛死亡游乐园纪念包","London 2018 Overpass Souvenir Package","普通级 武器箱"
"2018年伦敦锦标赛核子危机纪念包","London 2018 Nuke Souvenir Package","普通级 武器箱"
"2018年伦敦锦标赛挑战组（全息/闪亮）","London 2018 Returning Challengers (Holo-Foil)","普通级 武器箱"
"2018年伦敦锦标赛挑战组亲笔签名胶囊","London 2018 Returning Challengers Autograph Capsule","普通级 武器箱"
"2018年伦敦锦标赛列车停放站纪念包","London 2018 Train Souvenir Package","普通级 武器箱"
"2018年伦敦锦标赛传奇（全息/闪亮）","London 2018 Legends (Holo-Foil)","普通级 武器箱"
"2018年伦敦锦标赛传奇亲笔签名胶囊","London 2018 Legends Autograph Capsule","普通级 武器箱"
"2018年伦敦特锦赛竞争组（全息/闪亮）","London 2018 Minor Challengers (Holo-Foil)","普通级 武器箱"
"2017年克拉科夫锦标赛荒漠迷城纪念包","Krakow 2017 Mirage Souvenir Package","普通级 武器箱"
"2017年克拉科夫锦标赛炼狱小镇纪念包","Krakow 2017 Inferno Souvenir Package","普通级 武器箱"
"2017年克拉科夫锦标赛死城之迷纪念包","Krakow 2017 Cache Souvenir Package","普通级 武器箱"
"2017年克拉科夫锦标赛死亡游乐园纪念包","Krakow 2017 Overpass Souvenir Package","普通级 武器箱"
"2017年克拉科夫锦标赛核子危机纪念包","Krakow 2017 Nuke Souvenir Package","普通级 武器箱"
"2017年克拉科夫锦标赛挑战组（全息/闪亮）","Krakow 2017 Challengers (Holo-Foil)","普通级 武器箱"
"2017年克拉科夫锦标赛挑战组亲笔签名胶囊","Krakow 2017 Challengers Autograph Capsule","普通级 武器箱"
"2017年克拉科夫锦标赛古堡激战纪念包","Krakow 2017 Cobblestone Souvenir Package","普通级 武器箱"
"2017年克拉科夫锦标赛列车停放站纪念包","Krakow 2017 Train Souvenir Package","普通级 武器箱"
"2017年克拉科夫锦标赛传奇（全息/闪亮）","Krakow 2017 Legends (Holo-Foil)","普通级 武器箱"
"2017年克拉科夫锦标赛传奇亲笔签名胶囊","Krakow 2017 Legends Autograph Capsule","普通级 武器箱"
"2017年亚特兰大锦标赛荒漠迷城纪念包","Atlanta 2017 Mirage Souvenir Package","普通级 武器箱"
"2017年亚特兰大锦标赛炙热沙城 II 纪念包","Atlanta 2017 Dust II Souvenir Package","普通级 武器箱"
"2017年亚特兰大锦标赛死城之谜纪念包","Atlanta 2017 Cache Souvenir Package","普通级 武器箱"
"2017年亚特兰大锦标赛死亡游乐园纪念包","Atlanta 2017 Overpass Souvenir Package","普通级 武器箱"
"2017年亚特兰大锦标赛核子危机纪念包","Atlanta 2017 Nuke Souvenir Package","普通级 武器箱"
"2017年亚特兰大锦标赛挑战组（全息/闪亮）","Atlanta 2017 Challengers (Holo-Foil)","普通级 武器箱"
"2017年亚特兰大锦标赛古堡激战纪念包","Atlanta 2017 Cobblestone Souvenir Package","普通级 武器箱"
"2017年亚特兰大锦标赛列车停放站纪念包","Atlanta 2017 Train Souvenir Package","普通级 武器箱"
"2017年亚特兰大锦标赛传奇（全息/闪亮）","Atlanta 2017 Legends (Holo-Foil)","普通级 武器箱"
"2016年科隆锦标赛荒漠迷城纪念包","Cologne 2016 Mirage Souvenir Package","普通级 武器箱"
"2016年科隆锦标赛炙热沙城 II 纪念包","Cologne 2016 Dust II Souvenir Package","普通级 武器箱"
"2016年科隆锦标赛死城之谜纪念包","Cologne 2016 Cache Souvenir Package","普通级 武器箱"
"2016年科隆锦标赛死亡游乐园纪念包","Cologne 2016 Overpass Souvenir Package","普通级 武器箱"
"2016年科隆锦标赛核子危机纪念包","Cologne 2016 Nuke Souvenir Package","普通级 武器箱"
"2016年科隆锦标赛挑战组（全息/闪亮）","Cologne 2016 Challengers (Holo-Foil)","普通级 武器箱"
"2016年科隆锦标赛古堡激战纪念包","Cologne 2016 Cobblestone Souvenir Package","普通级 武器箱"
"2016年科隆锦标赛列车停放站纪念包","Cologne 2016 Train Souvenir Package","普通级 武器箱"
"2016年科隆锦标赛传奇（全息/闪亮）","Cologne 2016 Legends (Holo-Foil)","普通级 武器箱"
"2016年 MLG 哥伦布锦标赛荒漠迷城纪念包","MLG Columbus 2016 Mirage Souvenir Package","普通级 武器箱"
"2016年 MLG 哥伦布锦标赛炼狱小镇纪念包","MLG Columbus 2016 Inferno Souvenir Package","普通级 武器箱"
"2016年 MLG 哥伦布锦标赛炙热沙城 II 纪念包","MLG Columbus 2016 Dust II Souvenir Package","普通级 武器箱"
"2016年 MLG 哥伦布锦标赛死城之谜纪念包","MLG Columbus 2016 Cache Souvenir Package","普通级 武器箱"
"2016年 MLG 哥伦布锦标赛死亡游乐园纪念包","MLG Columbus 2016 Overpass Souvenir Package","普通级 武器箱"
"2016年 MLG 哥伦布锦标赛核子危机纪念包","MLG Columbus 2016 Nuke Souvenir Package","普通级 武器箱"
"2016年 MLG 哥伦布锦标赛挑战组（全息/闪亮）","MLG Columbus 2016 Challengers (Holo-Foil)","普通级 武器箱"
"2016年 MLG 哥伦布锦标赛古堡激战纪念包","MLG Columbus 2016 Cobblestone Souvenir Package","普通级 武器箱"
"2016年 MLG 哥伦布锦标赛列车停放站纪念包","MLG Columbus 2016 Train Souvenir Package","普通级 武器箱"
"2016年 MLG 哥伦布锦标赛传奇（全息/闪亮）","MLG Columbus 2016 Legends (Holo-Foil)","普通级 武器箱"
"2015年 ESL One 科隆锦标赛荒漠迷城纪念包","ESL One Cologne 2015 Mirage Souvenir Package","普通级 武器箱"
"2015年 ESL One 科隆锦标赛炼狱小镇纪念包","ESL One Cologne 2015 Inferno Souvenir Package","普通级 武器箱"
"2015年 ESL One 科隆锦标赛炙热沙城 II 纪念包","ESL One Cologne 2015 Dust II Souvenir Package","普通级 武器箱"
"2015年 ESL One 科隆锦标赛死城之谜纪念包","ESL One Cologne 2015 Cache Souvenir Package","普通级 武器箱"
"2015年 ESL One 科隆锦标赛死亡游乐园纪念包","ESL One Cologne 2015 Overpass Souvenir Package","普通级 武器箱"
"2015年 ESL One 科隆锦标赛挑战组（闪亮）","ESL One Cologne 2015 Challengers (Foil)","普通级 武器箱"
"2015年 ESL One 科隆锦标赛古堡激战纪念包","ESL One Cologne 2015 Cobblestone Souvenir Package","普通级 武器箱"
"2015年 ESL One 科隆锦标赛列车停放站纪念包","ESL One Cologne 2015 Train Souvenir Package","普通级 武器箱"
"2015年 ESL One 科隆锦标赛传奇（闪亮）","ESL One Cologne 2015 Legends (Foil)","普通级 武器箱"
"2015年 ESL One 卡托维兹锦标赛荒漠迷城纪念包","ESL One Katowice 2015 Mirage Souvenir Package","普通级 武器箱"
"2015年 ESL One 卡托维兹锦标赛炼狱小镇纪念包","ESL One Katowice 2015 Inferno Souvenir Package","普通级 武器箱"
"2015年 ESL One 卡托维兹锦标赛炙热沙城 II 纪念包","ESL One Katowice 2015 Dust II Souvenir Package","普通级 武器箱"
"2015年 ESL One 卡托维兹锦标赛死城之谜纪念包","ESL One Katowice 2015 Cache Souvenir Package","普通级 武器箱"
"2015年 ESL One 卡托维兹锦标赛死亡游乐园纪念包","ESL One Katowice 2015 Overpass Souvenir Package","普通级 武器箱"
"2015年 ESL One 卡托维兹锦标赛核子危机纪念包","ESL One Katowice 2015 Nuke Souvenir Package","普通级 武器箱"
"2015年 ESL One 卡托维兹锦标赛挑战组（全息/闪亮）","ESL One Katowice 2015 Challengers (Holo-Foil)","普通级 武器箱"
"2015年 ESL One 卡托维兹锦标赛传奇（全息/闪亮）","ESL One Katowice 2015 Legends (Holo-Foil)","普通级 武器箱"
"2015年 DreamHack 克卢日-纳波卡锦标赛荒漠迷城纪念包","DreamHack Cluj-Napoca 2015 Mirage Souvenir Package","普通级 武器箱"
"2015年 DreamHack 克卢日-纳波卡锦标赛炼狱小镇纪念包","DreamHack Cluj-Napoca 2015 Inferno Souvenir Package","普通级 武器箱"
"2015年 DreamHack 克卢日-纳波卡锦标赛炙热沙城 II 纪念包","DreamHack Cluj-Napoca 2015 Dust II Souvenir Package","普通级 武器箱"
"2015年 DreamHack 克卢日-纳波卡锦标赛死城之谜纪念包","DreamHack Cluj-Napoca 2015 Cache Souvenir Package","普通级 武器箱"
"2015年 DreamHack 克卢日-纳波卡锦标赛死亡游乐园纪念包","DreamHack Cluj-Napoca 2015 Overpass Souvenir Package","普通级 武器箱"
"2015年 DreamHack 克卢日-纳波卡锦标赛挑战组（闪亮）","DreamHack Cluj-Napoca 2015 Challengers (Foil)","普通级 武器箱"
"2015年 DreamHack 克卢日-纳波卡锦标赛古堡激战纪念包","DreamHack Cluj-Napoca 2015 Cobblestone Souvenir Package","普通级 武器箱"
"2015年 DreamHack 克卢日-纳波卡锦标赛列车停放站纪念包","DreamHack Cluj-Napoca 2015 Train Souvenir Package","普通级 武器箱"
"2015年 DreamHack 克卢日-纳波卡锦标赛传奇（闪亮）","DreamHack Cluj-Napoca 2015 Legends (Foil)","普通级 武器箱"
"2014年 ESL One 科隆锦标赛荒漠迷城纪念包","ESL One Cologne 2014 Mirage Souvenir Package","普通级 武器箱"
"2014年 ESL One 科隆锦标赛炼狱小镇纪念包","ESL One Cologne 2014 Inferno Souvenir Package","普通级 武器箱"
"2014年 ESL One 科隆锦标赛炙热沙城 II 纪念包","ESL One Cologne 2014 Dust II Souvenir Package","普通级 武器箱"
"2014年 ESL One 科隆锦标赛死城之谜纪念包","ESL One Cologne 2014 Cache Souvenir Package","普通级 武器箱"
"2014年 ESL One 科隆锦标赛核子危机纪念包","ESL One Cologne 2014 Nuke Souvenir Package","普通级 武器箱"
"2014年 ESL One 科隆锦标赛挑战组","ESL One Cologne 2014 Challengers","普通级 武器箱"
"2014年 ESL One 科隆锦标赛传奇","ESL One Cologne 2014 Legends","普通级 武器箱"
"2014年 EMS 卡托维兹锦标赛挑战组","EMS Katowice 2014 Challengers","普通级 武器箱"
"2014年 EMS 卡托维兹锦标赛传奇","EMS Katowice 2014 Legends","普通级 武器箱"
"2014年 EMS One 纪念包","EMS One 2014 Souvenir Package","普通级 武器箱"
"2014年 DreamHack 锦标赛荒漠迷城纪念包","DreamHack 2014 Mirage Souvenir Package","普通级 武器箱"
"2014年 DreamHack 锦标赛炼狱小镇纪念包","DreamHack 2014 Inferno Souvenir Package","普通级 武器箱"
"2014年 DreamHack 锦标赛炙热沙城 II 纪念包","DreamHack 2014 Dust II Souvenir Package","普通级 武器箱"
"2014年 DreamHack 锦标赛死亡游乐园纪念包","DreamHack 2014 Overpass Souvenir Package","普通级 武器箱"
"2014年 DreamHack 锦标赛核子危机纪念包","DreamHack 2014 Nuke Souvenir Package","普通级 武器箱"
"2014年 DreamHack 锦标赛传奇（全息/闪亮）","DreamHack 2014 Legends (Holo-Foil)","普通级 武器箱"
"2013年 DreamHack 纪念包","DreamHack 2013 Souvenir Package","普通级 武器箱"
"2 号印花胶囊","Sticker Capsule 2","普通级 武器箱"
"1 号社区印花胶囊","Community Sticker Capsule 1","普通级 武器箱"
"1 号印花胶囊","Sticker Capsule","普通级 武器箱"
"#CSGO_crate_musickit_masterminds2_stattrak_capsule","#CSGO_crate_musickit_masterminds2_stattrak_capsule","普通级 武器箱"
"#CSGO_crate_musickit_masterminds2_capsule","#CSGO_crate_musickit_masterminds2_capsule","普通级 武器箱"
